add-none,1,1,2,100179,50089,0
add-none,1,10,20,96992,4849,0
add-none,1,100,200,97640,488,0
add-none,1,1000,2000,177793,88,0
add-none,1,10000,20000,261785,13,0
add-none,1,100000,200000,1778687,8,0
add-none,2,1,4,144689,36172,0
add-none,2,10,40,153025,3825,0
add-none,2,100,400,141986,354,0
add-none,2,1000,4000,193294,48,0
add-none,2,10000,40000,521117,13,-1089
add-none,2,100000,400000,4688124,11,-25712
add-none,4,1,8,156396,19549,0
add-none,4,10,80,161820,2022,0
add-none,4,100,800,163696,204,0
add-none,4,1000,8000,182090,22,137
add-none,4,10000,80000,1345899,16,666
add-none,4,100000,800000,12293454,15,-39108
add-none,8,1,16,262687,16417,0
add-none,8,10,160,277443,1734,0
add-none,8,100,1600,278405,174,0
add-none,8,1000,16000,331554,20,259
add-none,8,10000,160000,2368993,14,-2251
add-none,8,100000,1600000,22843709,14,-25752
add-none,12,1,24,363769,15157,0
add-none,12,10,240,366187,1525,0
add-none,12,100,2400,327394,136,0
add-none,12,1000,24000,475531,19,778
add-none,12,10000,240000,3541305,14,1285
add-none,12,100000,2400000,34316092,14,-16994
add-m,1,1,2,68022,34011,0
add-m,1,10,20,68878,3443,0
add-m,1,100,200,75042,375,0
add-m,1,1000,2000,167820,83,0
add-m,1,10000,20000,763164,38,0
add-m,1,100000,200000,6470508,32,0
add-m,2,1,4,126743,31685,0
add-m,2,10,40,114396,2859,0
add-m,2,100,400,130069,325,0
add-m,2,1000,4000,227476,56,0
add-m,2,10000,40000,3278793,81,0
add-m,2,100000,400000,32557338,81,0
add-m,4,1,8,178708,22338,0
add-m,4,10,80,115468,1443,0
add-m,4,100,800,170447,213,0
add-m,4,1000,8000,1110493,138,0
add-m,4,10000,80000,13391451,167,0
add-m,4,100000,800000,139773405,174,0
add-m,8,1,16,240653,15040,0
add-m,8,10,160,348329,2177,0
add-m,8,100,1600,343437,214,0
add-m,8,1000,16000,3066399,191,0
add-m,8,10000,160000,33533945,209,0
add-m,8,100000,1600000,320233773,200,0
add-m,12,1,24,357874,14911,0
add-m,12,10,240,370963,1545,0
add-m,12,100,2400,369518,153,0
add-m,12,1000,24000,4953707,206,0
add-m,12,10000,240000,48606011,202,0
add-m,12,100000,2400000,473058799,197,0
add-s,1,1,2,88673,44336,0
add-s,1,10,20,80560,4028,0
add-s,1,100,200,73497,367,0
add-s,1,1000,2000,98814,49,0
add-s,1,10000,20000,377839,18,0
add-s,1,100000,200000,3009305,15,0
add-s,2,1,4,110576,27644,0
add-s,2,10,40,123893,3097,0
add-s,2,100,400,118865,297,0
add-s,2,1000,4000,209507,52,0
add-s,2,10000,40000,4774073,119,0
add-s,2,100000,400000,66339871,165,0
add-s,4,1,8,148427,18553,0
add-s,4,10,80,140246,1753,0
add-s,4,100,800,158708,198,0
add-s,4,1000,8000,1415356,176,0
add-s,4,10000,80000,34092897,426,0
add-s,4,100000,800000,327818132,409,0
add-s,8,1,16,283614,17725,0
add-s,8,10,160,233878,1461,0
add-s,8,100,1600,282386,176,0
add-s,8,1000,16000,7710511,481,0
add-s,8,10000,160000,125535544,784,0
add-s,8,100000,1600000,1065501395,665,0
add-s,12,1,24,411565,17148,0
add-s,12,10,240,389869,1624,0
add-s,12,100,2400,1248742,520,0
add-s,12,1000,24000,16620355,692,0
add-s,12,10000,240000,250791493,1044,0
add-s,12,100000,2400000,2544186107,1060,0
add-c,1,1,2,97495,48747,0
add-c,1,10,20,69392,3469,0
add-c,1,100,200,71939,359,0
add-c,1,1000,2000,137263,68,0
add-c,1,10000,20000,495101,24,0
add-c,1,100000,200000,4163652,20,0
add-c,2,1,4,115217,28804,0
add-c,2,10,40,110718,2767,0
add-c,2,100,400,112608,281,0
add-c,2,1000,4000,398463,99,0
add-c,2,10000,40000,3888203,97,0
add-c,2,100000,400000,39726904,99,0
add-c,4,1,8,139207,17400,0
add-c,4,10,80,170915,2136,0
add-c,4,100,800,159486,199,0
add-c,4,1000,8000,761567,95,0
add-c,4,10000,80000,8632827,107,0
add-c,4,100000,800000,84896973,106,0
add-c,8,1,16,273551,17096,0
add-c,8,10,160,218226,1363,0
add-c,8,100,1600,230444,144,0
add-c,8,1000,16000,1790671,111,0
add-c,8,10000,160000,17417593,108,0
add-c,8,100000,1600000,180742094,112,0
add-c,12,1,24,341466,14227,0
add-c,12,10,240,331692,1382,0
add-c,12,100,2400,294663,122,0
add-c,12,1000,24000,2523054,105,0
add-c,12,10000,240000,30571305,127,0
add-c,12,100000,2400000,306656658,127,0
add-yield-none,1,1,2,102016,51008,0
add-yield-none,1,10,20,114045,5702,0
add-yield-none,1,100,200,260995,1304,0
add-yield-none,1,1000,2000,1775788,887,0
add-yield-none,1,10000,20000,16160896,808,0
add-yield-none,1,100000,200000,150838308,754,0
add-yield-none,2,1,4,111300,27825,0
add-yield-none,2,10,40,126620,3165,0
add-yield-none,2,100,400,281732,704,26
add-yield-none,2,1000,4000,1797810,449,26
add-yield-none,2,10000,40000,17366034,434,0
add-yield-none,2,100000,400000,173434331,433,21
add-yield-none,4,1,8,171989,21498,0
add-yield-none,4,10,80,155657,1945,4
add-yield-none,4,100,800,331985,414,59
add-yield-none,4,1000,8000,2048463,256,79
add-yield-none,4,10000,80000,19327318,241,44
add-yield-none,4,100000,800000,191617527,239,-2194
add-yield-none,8,1,16,246418,15401,0
add-yield-none,8,10,160,243736,1523,21
add-yield-none,8,100,1600,425899,266,153
add-yield-none,8,1000,16000,2223999,138,112
add-yield-none,8,10000,160000,20435691,127,22
add-yield-none,8,100000,1600000,199263183,124,4938
add-yield-none,12,1,24,372519,15521,0
add-yield-none,12,10,240,329734,1373,11
add-yield-none,12,100,2400,554495,231,203
add-yield-none,12,1000,24000,2852937,118,165
add-yield-none,12,10000,240000,25456905,106,190
add-yield-none,12,100000,2400000,256913691,107,-6211
add-yield-m,1,1,2,100048,50024,0
add-yield-m,1,10,20,114608,5730,0
add-yield-m,1,100,200,266033,1330,0
add-yield-m,1,1000,2000,1860047,930,0
add-yield-m,1,10000,20000,16587106,829,0
add-yield-m,1,100000,200000,170719079,853,0
add-yield-m,2,1,4,115782,28945,0
add-yield-m,2,10,40,127489,3187,0
add-yield-m,2,100,400,757525,1893,0
add-yield-m,2,1000,4000,6841297,1710,0
add-yield-m,2,10000,40000,65850816,1646,0
add-yield-m,2,100000,400000,631132163,1577,0
add-yield-m,4,1,8,161488,20186,0
add-yield-m,4,10,80,161891,2023,0
add-yield-m,4,100,800,1381470,1726,0
add-yield-m,4,1000,8000,12761729,1595,0
add-yield-m,4,10000,80000,135510001,1693,0
add-yield-m,4,100000,800000,1374200564,1717,0
add-yield-m,8,1,16,280843,17552,0
add-yield-m,8,10,160,362205,2263,0
add-yield-m,8,100,1600,2670067,1668,0
add-yield-m,8,1000,16000,28903413,1806,0
add-yield-m,8,10000,160000,270396342,1689,0
add-yield-m,8,100000,1600000,2754116309,1721,0
add-yield-m,12,1,24,381108,15879,0
add-yield-m,12,10,240,493786,2057,0
add-yield-m,12,100,2400,4524062,1885,0
add-yield-m,12,1000,24000,43851204,1827,0
add-yield-m,12,10000,240000,426645060,1777,0
add-yield-m,12,100000,2400000,4701378431,1958,0
add-yield-s,1,1,2,71720,35860,0
add-yield-s,1,10,20,79003,3950,0
add-yield-s,1,100,200,220270,1101,0
add-yield-s,1,1000,2000,1728706,864,0
add-yield-s,1,10000,20000,16178253,808,0
add-yield-s,1,100000,200000,157921408,789,0
add-yield-s,2,1,4,113041,28260,0
add-yield-s,2,10,40,124585,3114,0
add-yield-s,2,100,400,424109,1060,0
add-yield-s,2,1000,4000,3756100,939,0
add-yield-s,2,10000,40000,33566967,839,0
add-yield-s,2,100000,400000,356165838,890,0
add-yield-s,4,1,8,180106,22513,0
add-yield-s,4,10,80,175254,2190,0
add-yield-s,4,100,800,1075661,1344,0
add-yield-s,4,1000,8000,10530681,1316,0
add-yield-s,4,10000,80000,100568844,1257,0
add-yield-s,4,100000,800000,1076056742,1345,0
add-yield-s,8,1,16,300479,18779,0
add-yield-s,8,10,160,265868,1661,0
add-yield-s,8,100,1600,2600306,1625,0
add-yield-s,8,1000,16000,24641254,1540,0
add-yield-s,8,10000,160000,240930824,1505,0
add-yield-s,8,100000,1600000,2285869400,1428,0
add-yield-s,12,1,24,428089,17837,0
add-yield-s,12,10,240,469690,1957,0
add-yield-s,12,100,2400,4401731,1834,0
add-yield-s,12,1000,24000,47791535,1991,0
add-yield-s,12,10000,240000,433418682,1805,0
add-yield-s,12,100000,2400000,4607664689,1919,0
add-yield-c,1,1,2,99353,49676,0
add-yield-c,1,10,20,113011,5650,0
add-yield-c,1,100,200,265043,1325,0
add-yield-c,1,1000,2000,1820896,910,0
add-yield-c,1,10000,20000,16725129,836,0
add-yield-c,1,100000,200000,166044978,830,0
add-yield-c,2,1,4,116602,29150,0
add-yield-c,2,10,40,130266,3256,0
add-yield-c,2,100,400,464211,1160,0
add-yield-c,2,1000,4000,3750527,937,0
add-yield-c,2,10000,40000,35683789,892,0
add-yield-c,2,100000,400000,365620436,914,0
add-yield-c,4,1,8,168243,21030,0
add-yield-c,4,10,80,161076,2013,0
add-yield-c,4,100,800,871621,1089,0
add-yield-c,4,1000,8000,7436806,929,0
add-yield-c,4,10000,80000,75693607,946,0
add-yield-c,4,100000,800000,772158130,965,0
add-yield-c,8,1,16,291772,18235,0
add-yield-c,8,10,160,301334,1883,0
add-yield-c,8,100,1600,1673030,1045,0
add-yield-c,8,1000,16000,16807588,1050,0
add-yield-c,8,10000,160000,159343884,995,0
add-yield-c,8,100000,1600000,1645698486,1028,0
add-yield-c,12,1,24,397201,16550,0
add-yield-c,12,10,240,399773,1665,0
add-yield-c,12,100,2400,2829766,1179,0
add-yield-c,12,1000,24000,28063725,1169,0
add-yield-c,12,10000,240000,275178377,1146,0
add-yield-c,12,100000,2400000,2943358976,1226,0
